manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,Track Parameters,Mute,,94,,,,1,108,0,127,,,
Elektron,Digitone II,Track Parameters,Track level,,95,,,,1,110,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Note,,3,,,,3,0,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Velocity,,4,,,,3,1,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Length,,5,,,,3,2,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Filter Trig,,13,,,,,,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,LFO Trig,,14,,,,,,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Portamento Time,,9,,,,3,6,0,127,0-based,,
Elektron,Digitone II,Trig Parameters,Portamento On/Off,,65,,,,3,7,0,127,0-based,on/off,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob A (machine dependent),,40,,,,1,73,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob B (machine dependent),,41,,,,1,74,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob C (machine dependent),,42,,,,1,75,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob D (machine dependent),,43,,,,1,76,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob E (machine dependent),,44,,,,1,77,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob F (machine dependent),,45,,,,1,78,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob G (machine dependent),,46,,,,1,79,0,127,,,
Elektron,Digitone II,Source Parameters (syn 1),Data entry knob H (machine dependent),,47,,,,1,80,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob A (machine dependent),,48,,,,1,81,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob B (machine dependent),,49,,,,1,82,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob C (machine dependent),,50,,,,1,83,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob D (machine dependent),,51,,,,1,84,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob E (machine dependent),,52,,,,1,85,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob F (machine dependent),,53,,,,1,86,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob G (machine dependent),,54,,,,1,87,0,127,,,
Elektron,Digitone II,Source Parameters (syn 2),Data entry knob H (machine dependent),,55,,,,1,88,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob A (machine dependent),,56,,,,1,89,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob B (machine dependent),,57,,,,1,90,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob C (machine dependent),,58,,,,1,91,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob D (machine dependent),,59,,,,1,92,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob E (machine dependent),,60,,,,1,93,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob F (machine dependent),,61,,,,1,94,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob G (machine dependent),,62,,,,1,95,0,127,,,
Elektron,Digitone II,Source Parameters (syn 3),Data entry knob H (machine dependent),,63,,,,1,96,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob A (machine dependent),,70,,,,1,97,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob B (machine dependent),,71,,,,1,98,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob C (machine dependent),,72,,,,1,99,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob D (machine dependent),,73,,,,1,100,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob E (machine dependent),,74,,,,1,101,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob F (machine dependent),,75,,,,1,102,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob G (machine dependent),,76,,,,1,103,0,127,,,
Elektron,Digitone II,Source Parameters (syn 4),Data entry knob H (machine dependent),,77,,,,1,104,0,127,,,
Elektron,Digitone II,Filter Parameters,Frequency,,16,,,,1,20,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Data entry knob F (machine dependent),,17,,,,1,21,0,127,,,
Elektron,Digitone II,Filter Parameters,Data entry knob G (machine dependent),,18,,,,1,22,0,127,,,
Elektron,Digitone II,Filter Parameters,Env. Depth,,24,,,,1,26,0,127,centered,,
Elektron,Digitone II,Filter Parameters,Attack Time,,20,,,,1,16,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Decay Time,,21,,,,1,17,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Sustain Level,,22,,,,1,18,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Release Time,,23,,,,1,19,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Env. Delay,,19,,,,1,23,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Key Tracking,,26,,,,1,69,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Base,,27,,,,1,24,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Width,,28,,,,1,25,0,127,0-based,,
Elektron,Digitone II,Filter Parameters,Env. Reset,,25,,,,1,68,0,127,0-based,on/off,
Elektron,Digitone II,Amp Parameters,Attack Time,,84,,,,1,30,0,127,0-based,,
Elektron,Digitone II,Amp Parameters,Hold Time,,85,,,,1,31,0,127,0-based,,
Elektron,Digitone II,Amp Parameters,Decay Time,,86,,,,1,32,0,127,0-based,,
Elektron,Digitone II,Amp Parameters,Sustain Level,,86,,,,1,33,0,127,0-based,,
Elektron,Digitone II,Amp Parameters,Release Time,,88,,,,1,34,0,127,0-based,,
Elektron,Digitone II,Amp Parameters,Env. Reset,,92,,,,1,41,0,127,0-based,on/off,
Elektron,Digitone II,Amp Parameters,Mode,,91,,,,1,40,0,127,0-based,adsr/ahd,
Elektron,Digitone II,Amp Parameters,Pan,,89,,,,1,38,0,127,centered,,
Elektron,Digitone II,Amp Parameters,Volume,,90,,,,1,39,0,127,0-based,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Pulse Generator 1,,,,,,3,8,0,127,0-based,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Pulse Generator 2,,,,,,3,9,0,127,0-based,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Euclidean Mode On/Off,,,,,,3,14,0,127,0-based,on/off,
Elektron,Digitone II,Euclidean Sequencer Parameters,Rotation Generator 1,,,,,,3,11,0,127,centered,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Rotation Generator 2,,,,,,3,12,0,127,centered,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Track Rotation,,,,,,3,13,0,127,centered,,
Elektron,Digitone II,Euclidean Sequencer Parameters,Boolean Operator,,,,,,3,10,0,127,0-based,or/xor/and,
Elektron,Digitone II,FX Parameters,Bit Reduction,,78,,,,1,5,0,127,0-based,,
Elektron,Digitone II,FX Parameters,Overdrive,,81,,,,1,8,0,127,0-based,,
Elektron,Digitone II,FX Parameters,Sample Rate Reduction,,79,,,,1,6,0,127,0-based,,
Elektron,Digitone II,FX Parameters,SRR Routing,,80,,,,1,7,0,127,0-based,pre/post,
Elektron,Digitone II,FX Parameters,Overdrive Routing,,82,,,,1,9,0,127,0-based,pre/post,
Elektron,Digitone II,FX Parameters,Delay Send,,30,,,,1,36,0,127,0-based,,
Elektron,Digitone II,FX Parameters,Reverb Send,,31,,,,1,37,0,127,0-based,,
Elektron,Digitone II,FX Parameters,Chorus Send,,29,,,,1,35,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO1),Speed,,102,,,,1,42,0,127,centered,,
Elektron,Digitone II,Mod Parameters (LFO1),Multiplier,,103,,,,1,43,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO1),Fade In/Out,,104,,,,1,44,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO1),Destination,,105,,,,1,45,0,127,0-based,list,
Elektron,Digitone II,Mod Parameters (LFO1),Waveform,,106,,,,1,46,0,127,0-based,tri/sine/sqr/saw/expo/ramp/rand,
Elektron,Digitone II,Mod Parameters (LFO1),Start Phase/Slew,,107,,,,1,47,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO1),Trig Mode,,108,,,,1,48,0,127,0-based,free/trig/hold/one/half,
Elektron,Digitone II,Mod Parameters (LFO1),Depth,,109,,,,1,49,0,127,centered,,
Elektron,Digitone II,Mod Parameters (LFO2),Speed,,111,,,,1,50,0,127,centered,,
Elektron,Digitone II,Mod Parameters (LFO2),Multiplier,,112,,,,1,51,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO2),Fade In/Out,,113,,,,1,52,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO2),Destination,,114,,,,1,53,0,127,0-based,list,
Elektron,Digitone II,Mod Parameters (LFO2),Waveform,,115,,,,1,54,0,127,0-based,tri/sine/sqr/saw/expo/ramp/rand,
Elektron,Digitone II,Mod Parameters (LFO2),Start Phase/Slew,,116,,,,1,55,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO2),Trig Mode,,117,,,,1,56,0,127,0-based,free/trig/hold/one/half,
Elektron,Digitone II,Mod Parameters (LFO2),Depth,,118,,,,1,57,0,127,centered,,
Elektron,Digitone II,Mod Parameters (LFO3),Speed,,,,,,1,58,0,127,centered,,
Elektron,Digitone II,Mod Parameters (LFO3),Multiplier,,,,,,1,59,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO3),Fade In/Out,,,,,,1,60,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO3),Destination,,,,,,1,61,0,127,0-based,list,
Elektron,Digitone II,Mod Parameters (LFO3),Waveform,,,,,,1,62,0,127,0-based,tri/sine/sqr/saw/expo/ramp/rand,
Elektron,Digitone II,Mod Parameters (LFO3),Start Phase/Slew,,,,,,1,70,0,127,0-based,,
Elektron,Digitone II,Mod Parameters (LFO3),Trig Mode,,,,,,1,71,0,127,0-based,free/trig/hold/one/half,
Elektron,Digitone II,Mod Parameters (LFO3),Depth,,,,,,1,72,0,127,centered,,
Elektron,Digitone II,Send FX Parameters (Delay),Delay Time,,21,,,,2,0,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Delay),Pingpong,,22,,,,2,1,0,127,0-based,on/off,
Elektron,Digitone II,Send FX Parameters (Delay),Stereo Width,,23,,,,2,2,0,127,centered,,
Elektron,Digitone II,Send FX Parameters (Delay),Feedback,,24,,,,2,3,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Delay),Highpass Filter,,25,,,,2,4,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Delay),Lowpass Filter,,26,,,,2,5,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Delay),Reverb Send,,27,,,,2,6,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Delay),Mix Volume,,28,,,,2,7,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Predelay,,29,,,,2,8,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Decay Time,,30,,,,2,9,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Shelving Freq,,31,,,,2,10,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Shelving Gain,,89,,,,2,11,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Highpass Filter,,90,,,,2,12,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Lowpass Filter,,91,,,,2,13,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Reverb),Mix Volume,,92,,,,2,15,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Depth,,16,,,,2,41,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Speed,,9,,,,2,42,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),High Pass Filter,,70,,,,2,43,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Width,,71,,,,2,44,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Delay Send,,12,,,,2,45,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Reverb Send,,13,,,,2,46,0,127,0-based,,
Elektron,Digitone II,Send FX Parameters (Chorus),Mix Volume,,14,,,,2,47,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Threshold,,111,,,,2,16,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Attack Time,,112,,,,2,17,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Release Time,,113,,,,2,18,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Makeup Gain,,114,,,,2,19,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Pattern Volume,,119,,,,2,24,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Ratio,,115,,,,2,20,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Sidechain Source,,116,,,,2,21,0,127,0-based,list,
Elektron,Digitone II,Mixer Parameters (Compressor),Sidechain Filter,,117,,,,2,22,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (Compressor),Dry/Wet Mix,,118,,,,2,23,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Dual Mono,,82,,,,2,40,0,127,0-based,on/off,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L Level,,72,,,,2,30,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L Pan,,74,,,,2,32,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input R Level,,73,,,,2,31,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input R Pan,,75,,,,2,33,0,127,centered,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L Delay Send,,78,,,,2,36,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input R Delay Send,,79,,,,2,37,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L Reverb Send,,80,,,,2,38,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input R Reverb Send,,81,,,,2,39,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L Chorus Send,,76,,,,2,34,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input R Chorus Send,,77,,,,2,35,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L R Level,,72,,,,2,30,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L R Balance,,74,,,,2,32,0,127,centered,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L R Delay Send,,78,,,,2,36,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L R Reverb Send,,80,,,,2,38,0,127,0-based,,
Elektron,Digitone II,Mixer Parameters (External In Mixer),Input L R Chorus Send,,76,,,,2,34,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL1,,70,,,,1,16,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL2,,71,,,,1,17,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL3,,72,,,,1,18,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL4,,73,,,,1,19,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL5,,74,,,,1,20,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL6,,75,,,,1,21,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL7,,76,,,,1,22,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL8,,77,,,,1,23,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL9,,78,,,,1,60,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL10,,79,,,,1,61,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL11,,80,,,,1,62,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL12,,81,,,,1,63,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL13,,82,,,,1,64,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL14,,83,,,,1,65,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL15,,84,,,,1,66,0,127,0-based,,
Elektron,Digitone II,Val Parameters,VAL16,,85,,,,1,67,0,127,0-based,,
Elektron,Digitone II,Misc Parameters,Pattern Mute,,110,,,,1,109,0,127,0-based,on/off,
Elektron,Digitone II,Misc Parameters,Master Overdrive,,17,,,,2,50,0,127,0-based,,
